,tweet
144,"From Afghanistan and the Pentagon to the halls of the Capitol, @RepAndyKimNJ has tirelessly served our country both at home and abroad. Now, he’s fighting #ForThePeople in Congress. 🇺🇸 https://t.co/40skscrf48"
145,Almost half of all Americans live in areas with unhealthy levels of air pollution. @HouseDemocrats are fighting to make our air SAFE for our children. https://t.co/kdEblYQxQR
146,We will lead that fight ✊ ✊🏼 ✊🏿 ✊🏽 https://t.co/BzA3QJbE0n
147,America's diversity is our strength. Congratulations! 🇺🇸 https://t.co/dItSUhM6Hb
148,"⚡️ “Hard Work Never Stops for @HouseDemocrats”

https://t.co/z5BPGvbJJg"
149,"The Trump Administration is trying to stifle the voices of millions of Americans. @HouseDemocrats will fight #ForThePeople and for the Constitution. ✊🏽

https://t.co/8VVZEOtGrn"
150,"FACT: Climate change is real. Full Stop 🛑

@HouseDemocrats are taking action. We've held the first climate change hearings in nearly 1️⃣0️⃣ years. 

#EarthDay

https://t.co/Lz8Ccoqaqy"
151,"We only get one Earth. Today and every day, @HouseDemocrats are fighting to keep our planet healthy and safe for our children. #EarthDay 🌎 https://t.co/0rSWtuJXa4"
152,Happy #Easter to all who celebrate! https://t.co/gvmBgAAb3L
153,Wishing all who celebrate a happy and healthy #Passover. https://t.co/K8y1IyVSBN
154,"⚡️ “#ForThePeople Friday” by @HouseDemocrats

https://t.co/nsKlXvQrD5"
155,"Follow along &amp; see how @RepBrindisi is a tireless advocate for the veterans, seniors and working families of Central New York. #FollowFriday #FF https://t.co/cNju3I8cqP"
156,House Democrats have fought #ForThePeople every day since taking the oath of office. And we’re just getting started. https://t.co/KTNGMiOL0X
