,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
60,Republican,"I have not advocated for war with #Iran nor called for a preemptive strike. 

What I have said publicly &amp; shared with @potus is that he has both the power &amp; the responsibility to proactively prevent or respond forcefully to any attack by Iran &amp;/or #IRGC proxies against us.",Marco Rubio,49,0.088,0.785,0.127,0.2607
61,Republican,"That @potus doesn’t need congressional approval to repel attacks isn’t my “position” its in constitution

And even War Powers Res (which is unconstitutional) recognizes President doesn’t need congressional authorization to respond to attack on armed forces https://t.co/P2xUVQq4cZ",Marco Rubio,37,0.215,0.717,0.067,-0.7783
62,Republican,"⁦.@DeptofDefense⁩ funds should not be boosting bio-tech development in #China. 

I have filed an amendment to the annual defense policy bill to end this &amp; give preference to U.S. manufacturers https://t.co/w7IuIce2es",Marco Rubio,31,0.065,0.888,0.048,-0.1371
63,Republican,"Sorry,on first tweet of thread meant bureaucratic INFIGHTING looks like 

What is most upsetting is that these leaked lies embolden #Maduro &amp; put opposition leaders in #Venezuela at greater risk of prison or death. 

But these officials care more about their personal vendettas",Marco Rubio,43,0.297,0.567,0.137,-0.8622
64,Republican,"The truth?

@potus basically ran MLB out of his office telling them nothing to discuss until Cuba leaves #Venezuela

POTUS has raised Venezuela with me several times this month alone

Next time these fake leaks happen I will out the “officials” behind them publicly &amp; by name 2/2",Marco Rubio,48,0.099,0.856,0.045,-0.4215
65,Republican,"This article good example of what bureaucratic looks like

Certain officials who dislike Bolton &amp; NSC team use position to leak things designed to damage them

Some of the things claimed here are wildly exaggerated &amp; others are completely fabricated 1/2 https://t.co/C8vqbmuTig",Marco Rubio,42,0.184,0.672,0.144,-0.2732
66,Republican,"This morning I was proud to accept the 2019 #DemocracyAwards for Constituent Service from @congressfdn 

Thank you to our excellent constituent service staff for their tireless dedication to &amp; compassion for those we serve. 

#Sayfie #FlPol https://t.co/BkfTmnDMD5",Marco Rubio,37,0.0,0.675,0.325,0.9313
67,Republican,"Why does #Iran matter to U.S.?

They sponsor terror &amp; wants nukes so they can dominate MidEast

Obama thought he could bribe them to change with economic benefits &amp; a pile of cash

But Iran used the money to build missiles &amp; sponsor more terror

So Trump put an end to this farce",Marco Rubio,53,0.217,0.724,0.059,-0.8686
68,Republican,"Don’t understand why these attacks aren’t getting more attention &amp; generating more concern

Taxpayers of Riviera Beach, #Florida just paid $600k in ransom to cyber-criminals

I am working on ideas to help local govts protect against this 

https://t.co/aIfwT3xkwK 

#Sayfie",Marco Rubio,39,0.067,0.81,0.123,0.34
69,Republican,"The Trump administration has repeatedly said it has no plans to start a war with #Iran

But it has also made clear that it will respond forcefully to an attack

President doesn’t need congressional authorization to defend our nation against attacks

https://t.co/w1AyEIdRhW",Marco Rubio,42,0.239,0.71,0.051,-0.8591
70,Republican,"Leveling the playing field with #China is not protectionism.

And my bill to require transparency in foreign firm audits is about the risks to U.S. investors,businesses &amp; the fiduciary responsibilities of our capital market. 

https://t.co/QdwTliUicv",Marco Rubio,35,0.057,0.894,0.049,-0.0772
