,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
1833,Republican,"Senate Republicans, @SBALinda, &amp; @KarenKerrigan host small business owners and American workers to highlight #taxre… https://t.co/oVYy3RoX2p",Senate of Republican,16,0.0,0.862,0.138,0.34
1834,Republican,"The Senate’s Tax Cuts &amp; Jobs Act provides real relief for the middle class by doubling the standard deduction, doubling the child tax credit, and lowering tax rates. https://t.co/eRHtPxh6S9",Senate of Republican,29,0.12,0.716,0.163,0.3612
1835,Republican,"""#TaxReform is a generational opportunity, and it couldn’t come at a more important time.” – @SenJohnThune https://t.co/YtOT37q06w",Senate of Republican,17,0.0,0.71,0.29,0.5984
1836,Republican,"What does doubling the standard deduction mean for you? 
It means that the first $12,000 an individual earns will not be taxed, the first $24,000 a married couple earns will not be taxed, and the first $18,000 a single parent earns will not be taxed. https://t.co/0mLrhZatMO",Senate of Republican,46,0.0,1.0,0.0,0.0
1837,Republican,"""Economic growth will accelerate if the Tax Cuts and Jobs Act passes, leading to more jobs, higher wages, and a better standard of living for the American people."" – 137 economists via @CNBC https://t.co/ftqYpb2VSk https://t.co/DLZ6FQJ5Zu",Senate of Republican,35,0.058,0.796,0.146,0.5106
1838,Republican,"“And without doubt, one of the top issues with every one of these small businesses is #TaxReform. They'll hire more people. They'll raise their wages. They'll reinvest in their businesses."" @SBAgov Administrator @SBALinda McMahon https://t.co/UEGUmOmAtA",Senate of Republican,35,0.0,0.894,0.106,0.4423
1839,Republican,"A typical family of four will receive a tax cut of $2,200 a year under the Senate’s Tax Cuts &amp; Jobs Act. https://t.co/1XcEg6zx9L",Senate of Republican,23,0.193,0.807,0.0,-0.5106
1840,Republican,Americans are ready for #TaxReform that will allow them to keep more of what they earn. https://t.co/0mLrhZatMO,Senate of Republican,17,0.0,0.773,0.227,0.5267
1841,Republican,"""An open letter to Congress signed by 137 economists supporting GOP tax reform bill"" via @CNBC https://t.co/ftqYpb2VSk https://t.co/WWpYAdcnas",Senate of Republican,18,0.0,0.854,0.146,0.4404
1842,Republican,"Sen. @JimInhofe on the death tax: They’ve already paid taxes on that money, so they are being taxed twice on the same money, and that’s caused many Oklahoman farmers to lose their family farm. That’s going to come to a halt. #TaxReform
https://t.co/QBRomVme0k",Senate of Republican,43,0.142,0.858,0.0,-0.765
