,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
124,Republican,"Whether in the U.S. Senate, National Guard, or your local coffee shop, @SenJoniErnst stands ready to serve the peop… https://t.co/drG64NdY4U",Senate GOP,20,0.0,0.884,0.116,0.3612
125,Republican,"Today is #TaxDay, and right now, there are 7.1 million job openings in America.

For a full year, there have been m… https://t.co/57ekGb7QCj",Senate GOP,23,0.0,1.0,0.0,0.0
126,Republican,"Tax Reform is Delivering Savings &amp; Creating Opportunity Across America 🇺🇸

https://t.co/zbBj9bdxgk 

#TaxDay #TaxCutDay",Senate GOP,14,0.0,0.706,0.294,0.6124
127,Republican,"The unemployment rate has been at or below 4% for the past 13 months, the longest streak in nearly five decades.… https://t.co/SCE0xvmhgZ",Senate GOP,22,0.121,0.879,0.0,-0.4404
128,Republican,Republicans cut tax rates for hardworking American families. That means more take home pay for most Americans throu… https://t.co/apB4w0oWp7,Senate GOP,19,0.181,0.819,0.0,-0.4144
129,Republican,#TaxDay is now #TaxCutDay 🇺🇸 https://t.co/6DWDn2IdGp,Senate GOP,6,0.0,1.0,0.0,0.0
130,Republican,"Since Republicans passed tax reform, 3.2 million new jobs have been created. Hard working Americans are seeing more… https://t.co/zWDsIMFPxN",Senate GOP,19,0.069,0.833,0.098,0.1531
131,Republican,"When Republicans passed tax reform, @SpeakerPelosi called the benefits for the middle-class “crumbs.”

But since th… https://t.co/LU7wMV8T3n",Senate GOP,17,0.0,0.86,0.14,0.3818
132,Republican,"The dynamics of our economy work better when 157 million taxpayers decide how to spend their money, instead of 535… https://t.co/ilfSCsD5eb",Senate GOP,21,0.0,0.792,0.208,0.6124
133,Republican,"Today is #TaxDay. 

A great time to remind everyone that Republicans reformed the tax code to ensure 95% OF AMERICA… https://t.co/yIQQfN90f3",Senate GOP,21,0.0,0.729,0.271,0.7717
134,Republican,"Tax Day is in 3️⃣ days. A great time to remind everyone of 2 things:
 
1. @SenateDems are pushing socialist policie… https://t.co/hoHdsC5eI0",Senate GOP,22,0.0,0.823,0.177,0.6249
135,Republican,"Since Republicans passed tax reform, America’s economy is booming, jobs are growing, and wages are rising. 

The Ma… https://t.co/Y3phnXTGfX",Senate GOP,19,0.0,0.914,0.086,0.1779
136,Republican,"📺 @SenJohnBarrasso on @AmericaNewsroom: 

@SenSanders and @SenateDems want to repeal and replace Obamacare with a g… https://t.co/FHPD5tirYx",Senate GOP,17,0.0,0.915,0.085,0.0772
137,Republican,"Today, @SenSanders and top @SenateDems introduced a plan to make socialized medicine a reality.
 
Here's what it me… https://t.co/5zJ6Krprt4",Senate GOP,19,0.0,0.899,0.101,0.2023
138,Republican,"3.2 million new jobs have been created since Senate Republicans passed tax reform.

Unemployment remains near a 50-… https://t.co/0wlAUYizpq",Senate GOP,19,0.139,0.766,0.096,-0.2263
139,Republican,"A government takeover of health care would result in longer lines, longer wait times and lower-quality care. https://t.co/eWwSAx3Min",Senate GOP,18,0.0,0.701,0.299,0.7506
140,Republican,WATCH: The @SenateGOP leadership team briefs the press https://t.co/npVywnTM72,Senate GOP,9,0.0,1.0,0.0,0.0
141,Republican,"3.2 million new jobs have been created since Senate Republicans passed tax reform, including 196,000 more jobs adde… https://t.co/SGCuec5u8L",Senate GOP,19,0.0,0.9,0.1,0.25
142,Republican,America’s economy is booming. 🇺🇸 https://t.co/pS0htqQoao,Senate GOP,6,0.0,1.0,0.0,0.0
143,Republican,.@MariaBartiromo: “The bottom line is this: employers are still hiring in a robust way.” #JobsReport https://t.co/1GpfM9Xl3k,Senate GOP,16,0.0,0.854,0.146,0.34
144,Republican,3.2 million jobs have been created since Republicans passed tax reform. America's economy is booming. 🇺🇸 https://t.co/UVzFNvDo3C,Senate GOP,17,0.0,0.889,0.111,0.25
145,Republican,🚨 BREAKING 🚨 U.S. weekly jobless claims are the lowest since 1969. America’s economy is booming. https://t.co/8ALkHcloTf,Senate GOP,17,0.157,0.843,0.0,-0.3818
146,Republican,"This unprecedented, blind obstruction is part of the far left’s ‘resistance’ movement. 

It’s about doing everythin… https://t.co/ZyKj4YFJvo",Senate GOP,17,0.144,0.856,0.0,-0.4019
147,Republican,📺 WATCH: The @SenateGOP leadership team briefs the press on @SenateDems partisan obstruction of @POTUS… https://t.co/C7tMAoZdyx,Senate GOP,16,0.0,1.0,0.0,0.0
148,Republican,"Due to @SenateDems’ obstruction, leadership positions across the government are VACANT.
 
Nominees are stranded in… https://t.co/upTIIQNDwH",Senate GOP,16,0.0,1.0,0.0,0.0
149,Republican,"Cloture votes required in the first 2 years of a presidency:
 
Clinton: 8
 
Bush: 4
 
Obama: 12
 
Trump: 128
 
See… https://t.co/vdj2vq9swb",Senate GOP,21,0.0,1.0,0.0,0.0
150,Republican,Worth watching: A Maine family shares their story of how @SenatorCollins has fought to increase #diabetes research… https://t.co/CXGdakuwZR,Senate GOP,18,0.106,0.599,0.295,0.4767
151,Republican,"Today, we pause to remember the courage and sacrifice of our Vietnam War veterans.
 
Thank you for your service to… https://t.co/k78Opdbxcx",Senate GOP,21,0.141,0.652,0.207,0.2023
152,Republican,"47 Senate #DemsDucked the #GreenNewDeal vote yesterday.

They voted present. 

Zero voted in favor.

Why? 

Because… https://t.co/LGsbiDLAnO",Senate GOP,17,0.0,0.856,0.144,0.4019
153,Republican,📺 WATCH: Republicans deliver remarks from the Senate floor  👇 https://t.co/TTHRkzbeXG,Senate GOP,11,0.0,1.0,0.0,0.0
154,Republican,"""The #GreenNewDeal is not the solution for America. It’s a big green bomb that will blow a hole in our strong, heal… https://t.co/p5OTnPX9Qz",Senate GOP,23,0.195,0.68,0.125,-0.2173
155,Republican,"Today, the U.S. Senate voted on the #GreenNewDeal.
 
The vote tally:
 
- 0 Yeas
 
- 57 Nays
 
- 43 “present”… https://t.co/vWp9swLHHM",Senate GOP,21,0.0,1.0,0.0,0.0
